Matchday,Date,Home Team,Away Team,Home Score,Away Score
14,2024-12-06T18:00:00Z,Lille OSC,Stade Brestois 29,3.0,1.0
14,2024-12-06T20:00:00Z,AJ Auxerre,Paris Saint-Germain FC,0.0,0.0
14,2024-12-07T16:00:00Z,AS Monaco FC,Toulouse FC,2.0,0.0
14,2024-12-07T18:00:00Z,OGC Nice,Le Havre AC,2.0,1.0
14,2024-12-07T20:00:00Z,Angers SCO,Olympique Lyonnais,0.0,3.0
14,2024-12-08T14:00:00Z,Racing Club de Lens,Montpellier HSC,2.0,0.0
14,2024-12-08T16:00:00Z,RC Strasbourg Alsace,Stade de Reims,0.0,0.0
14,2024-12-08T16:00:00Z,FC Nantes,Stade Rennais FC 1901,1.0,0.0
14,2024-12-08T19:45:00Z,AS Saint-Étienne,Olympique de Marseille,0.0,2.0
15,2024-12-13T19:45:00Z,Toulouse FC,AS Saint-Étienne,2.0,1.0
15,2024-12-14T16:00:00Z,Olympique de Marseille,Lille OSC,1.0,1.0
15,2024-12-14T18:00:00Z,AJ Auxerre,Racing Club de Lens,2.0,2.0
15,2024-12-14T20:00:00Z,Stade de Reims,AS Monaco FC,0.0,0.0
15,2024-12-15T14:00:00Z,Montpellier HSC,OGC Nice,2.0,2.0
15,2024-12-15T16:00:00Z,Stade Rennais FC 1901,Angers SCO,2.0,0.0
15,2024-12-15T16:00:00Z,Le Havre AC,RC Strasbourg Alsace,0.0,3.0
15,2024-12-15T16:00:00Z,Stade Brestois 29,FC Nantes,4.0,1.0
15,2024-12-15T19:45:00Z,Paris Saint-Germain FC,Olympique Lyonnais,3.0,1.0
16,2024-12-18T20:00:00Z,AS Monaco FC,Paris Saint-Germain FC,2.0,4.0
16,2025-01-03T20:00:00Z,OGC Nice,Stade Rennais FC 1901,3.0,2.0
16,2025-01-04T16:00:00Z,AS Saint-Étienne,Stade de Reims,3.0,1.0
16,2025-01-04T18:00:00Z,Lille OSC,FC Nantes,1.0,1.0
16,2025-01-04T20:00:00Z,Olympique Lyonnais,Montpellier HSC,1.0,0.0
16,2025-01-05T14:00:00Z,Racing Club de Lens,Toulouse FC,0.0,1.0
16,2025-01-05T14:00:00Z,Angers SCO,Stade Brestois 29,2.0,0.0
16,2025-01-05T14:00:00Z,RC Strasbourg Alsace,AJ Auxerre,3.0,1.0
16,2025-01-05T19:45:00Z,Olympique de Marseille,Le Havre AC,5.0,1.0
17,2025-01-10T18:00:00Z,FC Nantes,AS Monaco FC,2.0,2.0
17,2025-01-10T20:05:00Z,AJ Auxerre,Lille OSC,0.0,0.0
17,2025-01-11T16:00:00Z,Stade Brestois 29,Olympique Lyonnais,2.0,1.0
17,2025-01-11T18:00:00Z,Stade de Reims,OGC Nice,2.0,4.0
17,2025-01-11T20:05:00Z,Stade Rennais FC 1901,Olympique de Marseille,1.0,2.0
17,2025-01-12T14:00:00Z,Le Havre AC,Racing Club de Lens,1.0,2.0
17,2025-01-12T16:15:00Z,Toulouse FC,RC Strasbourg Alsace,1.0,2.0
17,2025-01-12T16:15:00Z,Montpellier HSC,Angers SCO,1.0,3.0
17,2025-01-12T19:45:00Z,Paris Saint-Germain FC,AS Saint-Étienne,2.0,1.0
18,2025-01-17T18:00:00Z,Montpellier HSC,AS Monaco FC,2.0,1.0
18,2025-01-17T20:05:00Z,Lille OSC,OGC Nice,2.0,1.0
18,2025-01-18T16:00:00Z,Racing Club de Lens,Paris Saint-Germain FC,1.0,2.0
18,2025-01-18T18:00:00Z,Stade Rennais FC 1901,Stade Brestois 29,1.0,2.0
18,2025-01-18T20:05:00Z,Olympique Lyonnais,Toulouse FC,0.0,0.0
18,2025-01-19T14:00:00Z,AS Saint-Étienne,FC Nantes,1.0,1.0
18,2025-01-19T16:15:00Z,Stade de Reims,Le Havre AC,1.0,1.0
18,2025-01-19T16:15:00Z,Angers SCO,AJ Auxerre,2.0,0.0
18,2025-01-19T19:45:00Z,Olympique de Marseille,RC Strasbourg Alsace,1.0,1.0
19,2025-01-24T19:45:00Z,AJ Auxerre,AS Saint-Étienne,1.0,1.0
19,2025-01-25T16:00:00Z,AS Monaco FC,Stade Rennais FC 1901,3.0,2.0
19,2025-01-25T18:00:00Z,RC Strasbourg Alsace,Lille OSC,2.0,1.0
19,2025-01-25T20:05:00Z,Paris Saint-Germain FC,Stade de Reims,1.0,1.0
19,2025-01-26T14:00:00Z,Le Havre AC,Stade Brestois 29,0.0,1.0
19,2025-01-26T16:15:00Z,FC Nantes,Olympique Lyonnais,1.0,1.0
19,2025-01-26T16:15:00Z,Toulouse FC,Montpellier HSC,1.0,2.0
19,2025-01-26T16:15:00Z,Racing Club de Lens,Angers SCO,1.0,0.0
19,2025-01-26T19:45:00Z,OGC Nice,Olympique de Marseille,2.0,0.0
20,2025-01-31T19:45:00Z,Montpellier HSC,Racing Club de Lens,0.0,2.0
20,2025-02-01T16:00:00Z,Stade Brestois 29,Paris Saint-Germain FC,2.0,5.0
20,2025-02-01T18:00:00Z,AS Monaco FC,AJ Auxerre,4.0,2.0
20,2025-02-01T20:05:00Z,Lille OSC,AS Saint-Étienne,4.0,1.0
20,2025-02-02T14:00:00Z,Toulouse FC,OGC Nice,1.0,1.0
20,2025-02-02T16:15:00Z,Stade de Reims,FC Nantes,1.0,2.0
20,2025-02-02T16:15:00Z,Angers SCO,Le Havre AC,1.0,1.0
20,2025-02-02T16:15:00Z,Stade Rennais FC 1901,RC Strasbourg Alsace,1.0,0.0
20,2025-02-02T19:45:00Z,Olympique de Marseille,Olympique Lyonnais,3.0,2.0
21,2025-02-07T18:00:00Z,FC Nantes,Stade Brestois 29,0.0,2.0
21,2025-02-07T20:05:00Z,Paris Saint-Germain FC,AS Monaco FC,4.0,1.0
21,2025-02-08T16:00:00Z,OGC Nice,Racing Club de Lens,2.0,0.0
21,2025-02-08T18:00:00Z,Lille OSC,Le Havre AC,1.0,2.0
21,2025-02-08T20:05:00Z,AS Saint-Étienne,Stade Rennais FC 1901,0.0,2.0
21,2025-02-09T14:00:00Z,Olympique Lyonnais,Stade de Reims,4.0,0.0
21,2025-02-09T16:15:00Z,AJ Auxerre,Toulouse FC,2.0,2.0
21,2025-02-09T16:15:00Z,RC Strasbourg Alsace,Montpellier HSC,2.0,0.0
21,2025-02-09T19:45:00Z,Angers SCO,Olympique de Marseille,0.0,2.0
22,2025-02-14T19:45:00Z,Stade Brestois 29,AJ Auxerre,2.0,2.0
22,2025-02-15T16:00:00Z,Olympique de Marseille,AS Saint-Étienne,5.0,1.0
22,2025-02-15T18:00:00Z,AS Monaco FC,FC Nantes,7.0,1.0
