Matchday,Date,Home Team,Away Team,Home Score,Away Score
11,2024-11-03T11:30:00Z,SSC Napoli,Atalanta BC,0.0,3.0
11,2024-11-03T14:00:00Z,Torino FC,ACF Fiorentina,0.0,1.0
11,2024-11-03T17:00:00Z,Hellas Verona FC,AS Roma,3.0,2.0
11,2024-11-03T19:45:00Z,FC Internazionale Milano,Venezia FC,1.0,0.0
11,2024-11-04T17:30:00Z,Empoli FC,Como 1907,1.0,0.0
11,2024-11-04T17:30:00Z,Parma Calcio 1913,Genoa CFC,0.0,1.0
11,2024-11-04T19:45:00Z,SS Lazio,Cagliari Calcio,2.0,1.0
12,2024-11-07T19:45:00Z,Genoa CFC,Como 1907,1.0,1.0
12,2024-11-08T19:45:00Z,US Lecce,Empoli FC,1.0,1.0
12,2024-11-09T14:00:00Z,Venezia FC,Parma Calcio 1913,1.0,2.0
12,2024-11-09T17:00:00Z,Cagliari Calcio,AC Milan,3.0,3.0
12,2024-11-09T19:45:00Z,Juventus FC,Torino FC,2.0,0.0
12,2024-11-10T11:30:00Z,Atalanta BC,Udinese Calcio,2.0,1.0
12,2024-11-10T14:00:00Z,ACF Fiorentina,Hellas Verona FC,3.0,1.0
12,2024-11-10T14:00:00Z,AS Roma,Bologna FC 1909,2.0,3.0
12,2024-11-10T17:00:00Z,AC Monza,SS Lazio,0.0,1.0
12,2024-11-10T19:45:00Z,FC Internazionale Milano,SSC Napoli,1.0,1.0
13,2024-11-23T14:00:00Z,Hellas Verona FC,FC Internazionale Milano,0.0,5.0
13,2024-11-23T17:00:00Z,AC Milan,Juventus FC,0.0,0.0
13,2024-11-23T19:45:00Z,Parma Calcio 1913,Atalanta BC,1.0,3.0
13,2024-11-24T11:30:00Z,Genoa CFC,Cagliari Calcio,2.0,2.0
13,2024-11-24T14:00:00Z,Como 1907,ACF Fiorentina,0.0,2.0
13,2024-11-24T14:00:00Z,Torino FC,AC Monza,1.0,1.0
13,2024-11-24T17:00:00Z,SSC Napoli,AS Roma,1.0,0.0
13,2024-11-24T19:45:00Z,SS Lazio,Bologna FC 1909,3.0,0.0
13,2024-11-25T17:30:00Z,Empoli FC,Udinese Calcio,1.0,1.0
13,2024-11-25T19:45:00Z,Venezia FC,US Lecce,0.0,1.0
14,2024-11-29T19:45:00Z,Cagliari Calcio,Hellas Verona FC,1.0,0.0
14,2024-11-30T14:00:00Z,Como 1907,AC Monza,1.0,1.0
14,2024-11-30T17:00:00Z,AC Milan,Empoli FC,3.0,0.0
14,2024-11-30T19:45:00Z,Bologna FC 1909,Venezia FC,3.0,0.0
14,2024-12-01T11:30:00Z,Udinese Calcio,Genoa CFC,0.0,2.0
14,2024-12-01T14:00:00Z,Parma Calcio 1913,SS Lazio,3.0,1.0
14,2024-12-01T14:00:00Z,Torino FC,SSC Napoli,0.0,1.0
14,2024-12-01T19:45:00Z,US Lecce,Juventus FC,1.0,1.0
14,2024-12-02T19:45:00Z,AS Roma,Atalanta BC,0.0,2.0
15,2024-12-06T17:30:00Z,FC Internazionale Milano,Parma Calcio 1913,3.0,1.0
15,2024-12-06T19:45:00Z,Atalanta BC,AC Milan,2.0,1.0
15,2024-12-07T14:00:00Z,Genoa CFC,Torino FC,0.0,0.0
15,2024-12-07T17:00:00Z,Juventus FC,Bologna FC 1909,2.0,2.0
15,2024-12-07T19:45:00Z,AS Roma,US Lecce,4.0,1.0
15,2024-12-08T11:30:00Z,ACF Fiorentina,Cagliari Calcio,1.0,0.0
15,2024-12-08T14:00:00Z,Hellas Verona FC,Empoli FC,1.0,4.0
15,2024-12-08T17:00:00Z,Venezia FC,Como 1907,2.0,2.0
15,2024-12-08T19:45:00Z,SSC Napoli,SS Lazio,0.0,1.0
15,2024-12-09T19:45:00Z,AC Monza,Udinese Calcio,1.0,2.0
16,2024-12-13T19:45:00Z,Empoli FC,Torino FC,0.0,1.0
16,2024-12-14T14:00:00Z,Cagliari Calcio,Atalanta BC,0.0,1.0
16,2024-12-14T17:00:00Z,Udinese Calcio,SSC Napoli,1.0,3.0
16,2024-12-14T19:45:00Z,Juventus FC,Venezia FC,2.0,2.0
16,2024-12-15T11:30:00Z,US Lecce,AC Monza,2.0,1.0
16,2024-12-15T14:00:00Z,Bologna FC 1909,ACF Fiorentina,1.0,0.0
16,2024-12-15T14:00:00Z,Parma Calcio 1913,Hellas Verona FC,2.0,3.0
16,2024-12-15T17:00:00Z,Como 1907,AS Roma,2.0,0.0
16,2024-12-15T19:45:00Z,AC Milan,Genoa CFC,0.0,0.0
16,2024-12-16T19:45:00Z,SS Lazio,FC Internazionale Milano,0.0,6.0
17,2024-12-20T19:45:00Z,Hellas Verona FC,AC Milan,0.0,1.0
17,2024-12-21T14:00:00Z,Torino FC,Bologna FC 1909,0.0,2.0
17,2024-12-21T17:00:00Z,Genoa CFC,SSC Napoli,1.0,2.0
17,2024-12-21T19:45:00Z,US Lecce,SS Lazio,1.0,2.0
17,2024-12-22T11:30:00Z,AS Roma,Parma Calcio 1913,5.0,0.0
17,2024-12-22T14:00:00Z,Venezia FC,Cagliari Calcio,2.0,1.0
17,2024-12-22T17:00:00Z,Atalanta BC,Empoli FC,3.0,2.0
17,2024-12-22T19:45:00Z,AC Monza,Juventus FC,1.0,2.0
17,2024-12-23T17:30:00Z,ACF Fiorentina,Udinese Calcio,1.0,2.0
17,2024-12-23T19:45:00Z,FC Internazionale Milano,Como 1907,2.0,0.0
18,2024-12-28T14:00:00Z,Empoli FC,Genoa CFC,1.0,2.0
18,2024-12-28T14:00:00Z,Parma Calcio 1913,AC Monza,2.0,1.0
18,2024-12-28T17:00:00Z,Cagliari Calcio,FC Internazionale Milano,0.0,3.0
18,2024-12-28T19:45:00Z,SS Lazio,Atalanta BC,1.0,1.0
18,2024-12-29T11:30:00Z,Udinese Calcio,Torino FC,2.0,2.0
18,2024-12-29T14:00:00Z,SSC Napoli,Venezia FC,1.0,0.0
18,2024-12-29T17:00:00Z,Juventus FC,ACF Fiorentina,2.0,2.0
18,2024-12-29T19:45:00Z,AC Milan,AS Roma,1.0,1.0
18,2024-12-30T17:30:00Z,Como 1907,US Lecce,2.0,0.0
18,2024-12-30T19:45:00Z,Bologna FC 1909,Hellas Verona FC,2.0,3.0
19,2025-01-04T14:00:00Z,Venezia FC,Empoli FC,1.0,1.0
19,2025-01-04T17:00:00Z,ACF Fiorentina,SSC Napoli,0.0,3.0
19,2025-01-04T19:45:00Z,Hellas Verona FC,Udinese Calcio,0.0,0.0
19,2025-01-05T11:30:00Z,AC Monza,Cagliari Calcio,1.0,2.0
19,2025-01-05T14:00:00Z,US Lecce,Genoa CFC,0.0,0.0
19,2025-01-05T17:00:00Z,Torino FC,Parma Calcio 1913,0.0,0.0
19,2025-01-05T19:45:00Z,AS Roma,SS Lazio,2.0,0.0
20,2025-01-10T19:45:00Z,SS Lazio,Como 1907,1.0,1.0
20,2025-01-11T14:00:00Z,Empoli FC,US Lecce,1.0,3.0
20,2025-01-11T14:00:00Z,Udinese Calcio,Atalanta BC,0.0,0.0
20,2025-01-11T17:00:00Z,Torino FC,Juventus FC,1.0,1.0
20,2025-01-11T19:45:00Z,AC Milan,Cagliari Calcio,1.0,1.0
20,2025-01-12T11:30:00Z,Genoa CFC,Parma Calcio 1913,1.0,0.0
20,2025-01-12T14:00:00Z,Venezia FC,FC Internazionale Milano,0.0,1.0
20,2025-01-12T17:00:00Z,Bologna FC 1909,AS Roma,2.0,2.0
20,2025-01-12T19:45:00Z,SSC Napoli,Hellas Verona FC,2.0,0.0
20,2025-01-13T19:45:00Z,AC Monza,ACF Fiorentina,2.0,1.0
19,2025-01-14T17:30:00Z,Como 1907,AC Milan,1.0,2.0
19,2025-01-14T19:45:00Z,Atalanta BC,Juventus FC,1.0,1.0
19,2025-01-15T19:45:00Z,FC Internazionale Milano,Bologna FC 1909,2.0,2.0
21,2025-01-17T19:45:00Z,AS Roma,Genoa CFC,3.0,1.0
21,2025-01-18T14:00:00Z,Bologna FC 1909,AC Monza,3.0,1.0
21,2025-01-18T17:00:00Z,Juventus FC,AC Milan,2.0,0.0
21,2025-01-18T19:45:00Z,Atalanta BC,SSC Napoli,2.0,3.0
21,2025-01-19T11:30:00Z,ACF Fiorentina,Torino FC,1.0,1.0
21,2025-01-19T14:00:00Z,Cagliari Calcio,US Lecce,4.0,1.0
21,2025-01-19T14:00:00Z,Parma Calcio 1913,Venezia FC,1.0,1.0
21,2025-01-19T17:00:00Z,Hellas Verona FC,SS Lazio,0.0,3.0
21,2025-01-19T19:45:00Z,FC Internazionale Milano,Empoli FC,3.0,1.0
21,2025-01-20T19:45:00Z,Como 1907,Udinese Calcio,4.0,1.0
22,2025-01-24T19:45:00Z,Torino FC,Cagliari Calcio,2.0,0.0
22,2025-01-25T14:00:00Z,Como 1907,Atalanta BC,1.0,2.0
22,2025-01-25T17:00:00Z,SSC Napoli,Juventus FC,2.0,1.0
22,2025-01-25T19:45:00Z,Empoli FC,Bologna FC 1909,1.0,1.0
22,2025-01-26T11:30:00Z,AC Milan,Parma Calcio 1913,3.0,2.0
22,2025-01-26T14:00:00Z,Udinese Calcio,AS Roma,1.0,2.0
22,2025-01-26T17:00:00Z,US Lecce,FC Internazionale Milano,0.0,4.0
22,2025-01-26T19:45:00Z,SS Lazio,ACF Fiorentina,1.0,2.0
22,2025-01-27T17:30:00Z,Venezia FC,Hellas Verona FC,1.0,1.0
22,2025-01-27T19:45:00Z,Genoa CFC,AC Monza,2.0,0.0
23,2025-01-31T19:45:00Z,Parma Calcio 1913,US Lecce,1.0,3.0
23,2025-02-01T14:00:00Z,AC Monza,Hellas Verona FC,0.0,1.0
23,2025-02-01T14:00:00Z,Udinese Calcio,Venezia FC,3.0,2.0
23,2025-02-01T17:00:00Z,Atalanta BC,Torino FC,1.0,1.0
23,2025-02-01T19:45:00Z,Bologna FC 1909,Como 1907,2.0,0.0
23,2025-02-02T11:30:00Z,Juventus FC,Empoli FC,4.0,1.0
23,2025-02-02T14:00:00Z,ACF Fiorentina,Genoa CFC,2.0,1.0
23,2025-02-02T17:00:00Z,AC Milan,FC Internazionale Milano,1.0,1.0
23,2025-02-02T19:45:00Z,AS Roma,SSC Napoli,1.0,1.0
23,2025-02-03T19:45:00Z,Cagliari Calcio,SS Lazio,1.0,2.0
14,2025-02-06T19:45:00Z,ACF Fiorentina,FC Internazionale Milano,3.0,0.0
24,2025-02-07T19:45:00Z,Como 1907,Juventus FC,1.0,2.0
24,2025-02-08T14:00:00Z,Hellas Verona FC,Atalanta BC,0.0,5.0
24,2025-02-08T17:00:00Z,Empoli FC,AC Milan,0.0,2.0
