Matchday,Date,Home Team,Away Team,Home Score,Away Score
16,2024-12-14T20:00:00Z,Feyenoord Rotterdam,Heracles Almelo,5.0,2.0
16,2024-12-15T11:15:00Z,FC Utrecht,Go Ahead Eagles,3.0,3.0
16,2024-12-15T13:30:00Z,NEC,Sparta Rotterdam,1.0,1.0
16,2024-12-15T13:30:00Z,FC Twente '65,FC Groningen,2.0,0.0
16,2024-12-15T15:45:00Z,AFC Ajax,Almere City FC,3.0,0.0
16,2024-12-15T19:00:00Z,NAC Breda,AZ,1.0,2.0
17,2024-12-20T19:00:00Z,RKC Waalwijk,PEC Zwolle,1.0,1.0
17,2024-12-21T15:30:00Z,Go Ahead Eagles,NAC Breda,2.0,1.0
17,2024-12-21T17:45:00Z,Almere City FC,SC Heerenveen,3.0,0.0
17,2024-12-21T19:00:00Z,AZ,FC Twente '65,1.0,0.0
17,2024-12-22T11:15:00Z,Sparta Rotterdam,AFC Ajax,0.0,2.0
17,2024-12-22T13:30:00Z,FC Utrecht,Fortuna Sittard,2.0,5.0
17,2024-12-22T13:30:00Z,PSV,Feyenoord Rotterdam,3.0,0.0
17,2024-12-22T15:45:00Z,Willem II Tilburg,NEC,4.0,1.0
18,2025-01-10T19:00:00Z,Fortuna Sittard,Go Ahead Eagles,0.0,3.0
18,2025-01-11T15:30:00Z,Heracles Almelo,Sparta Rotterdam,1.0,1.0
18,2025-01-11T17:45:00Z,AFC Ajax,RKC Waalwijk,2.0,1.0
18,2025-01-11T19:00:00Z,PEC Zwolle,NEC,0.0,1.0
18,2025-01-11T20:00:00Z,PSV,AZ,2.0,2.0
18,2025-01-12T11:15:00Z,FC Twente '65,Willem II Tilburg,6.0,2.0
18,2025-01-12T13:30:00Z,FC Groningen,Almere City FC,0.0,0.0
18,2025-01-12T13:30:00Z,Feyenoord Rotterdam,FC Utrecht,1.0,2.0
18,2025-01-12T15:45:00Z,NAC Breda,SC Heerenveen,2.0,4.0
19,2025-01-18T15:30:00Z,PEC Zwolle,PSV,3.0,1.0
19,2025-01-18T17:45:00Z,FC Utrecht,AZ,0.0,0.0
19,2025-01-18T19:00:00Z,Willem II Tilburg,Feyenoord Rotterdam,1.0,1.0
19,2025-01-18T20:00:00Z,Go Ahead Eagles,FC Groningen,2.0,1.0
19,2025-01-19T11:15:00Z,NAC Breda,FC Twente '65,2.0,1.0
19,2025-01-19T13:30:00Z,Almere City FC,Heracles Almelo,0.0,2.0
19,2025-01-19T13:30:00Z,SC Heerenveen,AFC Ajax,0.0,2.0
19,2025-01-19T15:45:00Z,NEC,Fortuna Sittard,4.0,1.0
19,2025-01-19T19:00:00Z,Sparta Rotterdam,RKC Waalwijk,1.0,1.0
20,2025-01-24T19:00:00Z,Heracles Almelo,FC Utrecht,1.0,1.0
20,2025-01-25T17:45:00Z,PSV,NAC Breda,3.0,2.0
20,2025-01-25T20:15:00Z,FC Groningen,SC Heerenveen,1.0,0.0
20,2025-01-26T11:15:00Z,Fortuna Sittard,PEC Zwolle,1.0,4.0
20,2025-01-26T13:30:00Z,RKC Waalwijk,Willem II Tilburg,2.0,0.0
20,2025-01-26T15:45:00Z,AZ,Sparta Rotterdam,1.0,2.0
